ProjectID,ProjectPI,OutputVenue,OutputTitle,OutputVolume,ProjectTitle,ProjectEndYear,OutputType,OutputStatus,Affiliation,DOI,OutputMonth,OutputBiblio,ProjectYearStarted,OutputYear,ProjectRDC,ProjectStartYear,ProjID,ProjectStatus,PredictedTopic,OutputNumber,ProjectYearEnded,OutputPages,Keywords
,Eric Grodsky,Alzheimer's &amp; Dementia,Education and midlife cognitive functioning: Evidence from the High School and Beyond cohort,21,Sea surface salinity estimates from spaceborne L-band radiometers: An overview of the first decade of observation (2010–2019),,Publication,,Department of Sociology University of Texas‐Austin  Austin Texas USA,10.1002/alz.70015,2,"Muller, C., Grodsky, E., Brickman, A. M., Manly, J. J., Hung, K., Culbertson, M. J., & Warren, J. R. (2025). Education and midlife cognitive functioning: Evidence from the High School and Beyond cohort. Alzheimerâs &amp; Dementia, 21(2). Portico. https://doi.org/10.1002/alz.70015
",,2025.0,Minnesota,,PROJ_09618,,technology,2,,,"midlife cognitive, education midlife, cognitive functioning, midlife, cognitive"
,Matthew S Hall,'Wiley',Dynamic microRNA activity identifies therapeutic targets in trastuzumab‐resistant HER2+ breast cancer,115,Dynamic microRNA activity identifies therapeutic targets in trastuzumab‐resistant HER2+ breast cancer,,Other,Published,Department of Biomedical Engineering University of Michigan Ann Arbor Michigan,10.1002/bit.26791,10,"Decker, J. T., Hall, M. S., Blaisdell, R. B., Schwark, K., Jeruss, J. S., & Shea, L. D. (2018). Dynamic microRNA activity identifies therapeutic targets in trastuzumabâresistant HER2+breast cancer. Biotechnology and Bioengineering, 115(10), 2613â2623. Portico. https://doi.org/10.1002/bit.26791
",2018.0,2018.0,Michigan,,PROJ_06056,Completed,medicine,10,2021.0,2613-2623,"dynamic microrna, microrna, microrna activity, breast cancer, trastuzumab resistant"
,Lucas W Davis,'Wiley',Estimating the effect of a gasoline tax on carbon emissions,26,Estimating the effect of a gasoline tax on carbon emissions,,Other,Published,,10.1002/jae.1156,11,"Davis, L. W., & Kilian, L. (2011). Estimating the effect of a gasoline tax on carbon emissions. Journal of Applied Econometrics, 26(7), 1187â1214. Portico. https://doi.org/10.1002/jae.1156
",2011.0,2011.0,Chicago,,PROJ_04235,Completed,economics,7,2014.0,1187-1214,"gasoline tax, tax carbon, carbon emissions, effect gasoline, emissions"
,Susan Dynarski,ScholarWorks @ Georgia State University,"How Important Are Fixed Effects and Time Trends in Estimating Returns to Schooling? Evidence From A Replication of Jacobson, Lalonde and Sullivan, 2005",33,How Important Are Fixed Effects and Time Trends in Estimating Returns to Schooling? Evidence From A Replication of Jacobson,,Other,Published,Gerald R. Ford School of Public Policy University of Michigan  Ann Arbor Michigan,10.1002/jae.2653,10,"Dynarski, S., Jacob, B., & Kreisman, D. (2018). How important are fixed effects and time trends in estimating returns to schooling? Evidence from a replication of Jacobson, Lalonde, and Sullivan, 2005. Journal of Applied Econometrics, 33(7), 1098â1108. Portico. https://doi.org/10.1002/jae.2653
",2017.0,2017.0,Atlanta,,PROJ_04315,Completed,education,7,2020.0,1098-1108,"returns schooling, schooling evidence, schooling, estimating returns, trends estimating"
,Francine Lafontaine,'Wiley',Formula Pricing and Profit Sharing in Inter‐Firm Contracts,36,Formula Pricing and Profit Sharing in Inter‐Firm Contracts,,Other,Published,Department of Economics University of Florida  Gainesville FL USA,10.1002/mde.2704,12,"Blair, R. D., & Lafontaine, F. (2014). Formula Pricing and Profit Sharing in InterâFirm Contracts. Managerial and Decision Economics, 36(1), 33â43. Portico. https://doi.org/10.1002/mde.2704
",2014.0,2014.0,Florida,,PROJ_05476,Completed,economics,1,2017.0,33-43,"formula pricing, firm contracts, pricing profit, profit sharing, contracts"
,Theresa Osypuk,'Wiley',Immigrant assimilation and BMI and waist size: A longitudinal examination among hispanic and chinese participants in the multi‐ethnic study of atherosclerosis,21,Immigrant assimilation and BMI and waist size: A longitudinal examination among hispanic and chinese participants in the multi‐ethnic study of atherosclerosis,,Other,Published,Center for Social Epidemiology and Population Health Department of Epidemiology University of Michigan Ann Arbor Michigan USA,10.1002/oby.20104,5,"Albrecht, S. S., Roux, A. V. D., Kandula, N. R., Osypuk, T. L., Ni, H., & Shrager, S. (2013). Immigrant assimilation and BMI and waist size: A longitudinal examination among hispanic and chinese participants in the multiâethnic study of atherosclerosis. Obesity, 21(8), 1695â1703. Portico. https://doi.org/10.1002/oby.20104
",2013.0,2013.0,Boston,,PROJ_13012,Completed,history,8,2016.0,1695-1703,"immigrant assimilation, assimilation bmi, hispanic chinese, hispanic, study atherosclerosis"
,Lara Shore-Sheppard,Smith ScholarWorks,The Effect of Safety Net Generosity on Maternal Mental Health and Risky Health Behaviors,42,The Effect of Safety Net Generosity on Maternal Mental Health and Risky Health Behaviors,,Other,Published,,10.1002/pam.22481,7,"Schmidt, L., ShoreâSheppard, L., & Watson, T. (2023). The Effect of Safety Net Generosity on Maternal Mental Health and Risky Health Behaviors. Journal of Policy Analysis and Management, 42(3), 706â736. Portico. https://doi.org/10.1002/pam.22481
",2023.0,2023.0,Federal Reserve Board,,PROJ_09359,Active,social sciences,3,2026.0,706-736,"generosity maternal, maternal mental, generosity, net generosity, maternal"
,Matthew S Hall,"Wiley Periodicals, Inc.",Characteristics of Children With Cancer Discharged or Admitted From the Emergency Department,63,Characteristics of Children With Cancer Discharged or Admitted From the Emergency Department,,Other,Published,"Section of Pediatric Hematology Oncology, Department of Pediatrics; Indiana University; Indianapolis Indiana",10.1002/pbc.25872,12,"Mueller, E. L., Hall, M., Shah, S. S., August, K. J., Radhi, M. A., & Macy, M. L. (2015). Characteristics of Children With Cancer Discharged or Admitted From the Emergency Department. Pediatric Blood &amp; Cancer, 63(5), 853â858. Portico. https://doi.org/10.1002/pbc.25872
",2015.0,2015.0,Kansas City,,PROJ_06058,Completed,communications,5,2018.0,853-858,"children cancer, cancer discharged, characteristics children, cancer, admitted emergency"
,Mary M Kritz,"Population, Space and Place",Spatial dispersion of U.S. national origin groups: Characteristics of dispersed immigrants and settlement places,24,"High-resolution estimates of the foreign-born population and
  international migration for the United States",,Publication,,Center for Demography and Ecology University of Wisconsin Madison WI USA,10.1002/psp.2154,11,"Kritz, M. M., & Gurak, D. T. (2018). Spatial dispersion of U.S. national origin groups: Characteristics of dispersed immigrants and settlement places. Population, Space and Place, 24(8). Portico. https://doi.org/10.1002/psp.2154
",2014.0,2018.0,Wisconsin,,PROJ_00159,,technology,8,2017.0,,"dispersed immigrants, immigrants settlement, immigrants, spatial dispersion, settlement places"
,Henry Friedman,ScholarlyCommons,Does Self-Efficacy Affect Entrepreneurial Investment?,3,Does Self-Efficacy Affect Entrepreneurial Investment?,,Other,Published,,10.1002/sej.73,9,"Cassar, G., & Friedman, H. (2009). Does selfâefficacy affect entrepreneurial investment? Strategic Entrepreneurship Journal, 3(3), 241â260. Portico. https://doi.org/10.1002/sej.73
",2009.0,2009.0,Chicago,,PROJ_09005,Completed,economics,3,2012.0,241-260,"entrepreneurial investment, affect entrepreneurial, self efficacy, entrepreneurial, efficacy affect"
,Sharon Belenzon,'Wiley',Married to the firm? A large scale investigation of the social context of ownership,37,Married to the firm? A large scale investigation of the social context of ownership,,Other,Published,Fuqua School of Business Duke University  Durham North Carolina U.S.A.,10.1002/smj.2441,11,"Belenzon, S., Patacconi, A., & Zarutskie, R. (2015). Married to the firm? A largeâscale investigation of the social context of ownership. Strategic Management Journal, 37(13), 2611â2638. Portico. https://doi.org/10.1002/smj.2441
",2015.0,2015.0,Federal Reserve Board,,PROJ_09353,Completed,social sciences,13,2018.0,2611-2638,"ownership, married firm, context ownership, firm, social context"
,Yue M Zhou,'Wiley',Offshoring Pollution while Offshoring Production?,38,Offshoring Pollution while Offshoring Production?,,Other,Published,Shanghai Advanced Institute of Finance Shanghai Jiao Tong University Shanghai China,10.1002/smj.2656,5,"Li, X., & Zhou, Y. M. (2017). Offshoring Pollution while Offshoring Production? Strategic Management Journal, 38(11), 2310â2329. Portico. https://doi.org/10.1002/smj.2656
",2017.0,2017.0,Michigan,,PROJ_05274,Completed,environmental studies,11,2020.0,2310-2329,"offshoring pollution, pollution offshoring, offshoring production, offshoring, pollution"
,Bryan Hong,Scholarship@Western,Corporate Governance and the Rise of Integrating Corporate Social Responsibility Criteria in Exacutive Compensation: Effectiveness and Implications for Firm Outcomes,40,Corporate Governance and the Rise of Integrating Corporate Social Responsibility Criteria in Exacutive Compensation: Effectiveness and Implications for Firm Outcomes,,Other,Published,"Strategy &amp; Innovation Boston University, Questrom School of Business  Boston Massachusetts",10.1002/smj.3018,9,"Flammer, C., Hong, B., & Minor, D. (2019). Corporate governance and the rise of integrating corporate social responsibility criteria in executive compensation: Effectiveness and implications for firm outcomes. Strategic Management Journal, 40(7), 1097â1122. Portico. https://doi.org/10.1002/smj.3018
",2017.0,2017.0,Boston,,PROJ_11526,Completed,social sciences,7,2020.0,1097-1122,"corporate governance, compensation effectiveness, firm outcomes, exacutive compensation, compensation"
,Natarajan N Balasubramanian,Strategic Management Journal,How do US firms grow? New evidence from a growth decomposition,46,PANC Study (Pancreatitis: A National Cohort Study): national cohort study examining the first 30 days from presentation of acute pancreatitis in the UK,,Publication,,Ross School of Business University of Michigan  Ann Arbor Michigan USA,10.1002/smj.3641,1,"Sivadasan, J., Balasubramanian, N., Dharwadkar, R., & Ren, C. (2024). How do <scp>US</scp> firms grow? New evidence from a growth decomposition. Strategic Management Journal, 46(1), 49â81. Portico. https://doi.org/10.1002/smj.3641
",2023.0,2025.0,Michigan,,PROJ_03406,,medicine,1,2026.0,49-81,"firms grow, growth decomposition, growth, firms, evidence growth"
,Charles Courtemanche,ScholarWorks @ Georgia State University,"Estimating the Associations between SNAP and Food Insecurity, Obesity, and Food Purchases with Imperfect Administrative Measures of Participation",86,Estimating the Associations between SNAP and Food Insecurity,,Other,Published,,10.1002/soej.12364,1,"Courtemanche, C., Denteh, A., & Tchernis, R. (2019). Estimating the Associations between SNAP and Food Insecurity, Obesity, and Food Purchases with Imperfect Administrative Measures of Participation. Southern Economic Journal, 86(1), 202â228. Portico. https://doi.org/10.1002/soej.12364
",2018.0,2018.0,Chicago,,PROJ_06878,Completed,social sciences,1,2021.0,202-228,"food insecurity, food purchases, insecurity obesity, snap food, obesity food"
,William H Frey,'Springer Science and Business Media LLC',Immigration and internal migration “flight”: A California case study,16,Immigration and internal migration “flight”: A California case study,,Other,Published,,10.1007/bf02208119,3,"Frey, W. H. (1995). Immigration and internal migration âflightâ: A California case study. Population and Environment, 16(4), 353â375. https://doi.org/10.1007/bf02208119
",1995.0,1995.0,Chicago,,PROJ_02759,Completed,social sciences,4,1998.0,353-375,"migration flight, immigration, immigration internal, flight california, internal migration"
,William H Frey,'Springer Science and Business Media LLC',Interstate migration of the US poverty population: Immigration “pushes” and welfare magnet “pulls”,17,Interstate migration of the US poverty population: Immigration “pushes” and welfare magnet “pulls”,,Other,Published,,10.1007/bf02208337,7,"Frey, W. H., Liaw, K.-L., Xie, Y., & Carlson, M. J. (1996). Interstate migration of the US poverty population: Immigration âpushesâ and welfare magnet âpulls.â Population and Environment, 17(6), 491â533. https://doi.org/10.1007/bf02208337
",1996.0,1996.0,Chicago,,PROJ_02764,Completed,economics,6,1999.0,491-533,"migration poverty, interstate migration, immigration pushes, population immigration, immigration"
,Andrew Joung,'Springer Science and Business Media LLC',A Calculus for Higher Spin Interactions,2013,A Calculus for Higher Spin Interactions,,Other,Published,,10.1007/jhep07(2013)186,1,"Joung, E., Taronna, M., & Waldron, A. (2013). A calculus for higher spin interactions. Journal of High Energy Physics, 2013(7). https://doi.org/10.1007/jhep07(2013)186
",2013.0,2013.0,Rocky Mountain,,PROJ_12601,Completed,mathematics and data science,7,2016.0,,"spin interactions, higher spin, spin, interactions, calculus higher"
,Abraham Flaxman,'Springer Science and Business Media LLC',"A sharp threshold for minimum bounded-depth and bounded-diameter
  spanning trees and Steiner trees in random networks",32,The WHO 2016 verbal autopsy instrument: An international standard suitable for automated analysis by InterVA,,Other,Published,,10.1007/s00493-012-2552-z,5,"Angel, O., Flaxman, A. D., & Wilson, D. B. (2012). A sharp threshold for minimum bounded-depth and bounded-diameter spanning trees and Steiner trees in random networks. Combinatorica, 32(1), 1â33. https://doi.org/10.1007/s00493-012-2552-z
",2020.0,2011.0,Chicago,,PROJ_11036,Completed,technology,1,2023.0,Jan-33,"steiner trees, trees steiner, spanning trees, random networks, diameter spanning"
,Clive Bowman,Springer,Do astigmatid teeth matter: a tribological review of cheliceral chelae in co-occuring mites from UK beehives,92,A national census of care home residents,,Other,Published,,10.1007/s10493-023-00876-2,4,"Bowman, C. E. (2024). Do astigmatid teeth matter: a tribological review of cheliceral chelae in co-occuring mites from UK beehives. Experimental and Applied Acarology, 92(4), 567â686. https://doi.org/10.1007/s10493-023-00876-2
",2004.0,2024.0,Boston,,PROJ_13573,Completed,cognition sciences,4,2007.0,567-686,"astigmatid teeth, occuring mites, cheliceral chelae, chelae occuring, review cheliceral"
